ForNum,NatNum,addCd,gungu,resNm,rnum,sido,yyyymm
44722,75991,1111,종로구,창덕궁,1,서울특별시,201112
0,11017,1111,종로구,운현궁,2,서울특별시,201112
132399,237330,1111,종로구,경복궁,3,서울특별시,201112
3133,21267,1111,종로구,창경궁,4,서울특별시,201112
18226,24223,1111,종로구,종묘,5,서울특별시,201112
0,233828,1117,용산구,국립중앙박물관,6,서울특별시,201112
0,93554,1111,종로구,서울역사박물관,7,서울특별시,201112
13935,52140,1114,중구,덕수궁,8,서울특별시,201112
0,61115,1114,중구,서울시립미술관 본관,9,서울특별시,201112
10,1885,1135,노원구,태릉 ·  강릉 · 조선왕릉전시관,10,서울특별시,201112
0,32412,1141,서대문구,서대문형무소역사관,11,서울특별시,201112
0,19308,1141,서대문구,서대문자연사박물관,12,서울특별시,201112
5214,6956,1144,마포구,트릭아이미술관,13,서울특별시,201112
333,1823,1165,서초구,헌릉ㆍ인릉,14,서울특별시,201112
4704,16634,1168,강남구,선릉·정릉,15,서울특별시,201112
52484,642290,1171,송파구,롯데월드,16,서울특별시,201112
27814,28061,1111,종로구,창덕궁,1,서울특별시,201212
546,5978,1111,종로구,운현궁,2,서울특별시,201212
105370,133012,1111,종로구,경복궁,3,서울특별시,201212
1451,15722,1111,종로구,창경궁,4,서울특별시,201212
8817,8068,1111,종로구,종묘,5,서울특별시,201212
13033,227077,1117,용산구,국립중앙박물관,6,서울특별시,201212
1138,78179,1111,종로구,서울역사박물관,7,서울특별시,201212
11151,44855,1114,중구,덕수궁,8,서울특별시,201212
0,213467,1114,중구,서울시립미술관 본관,9,서울특별시,201212
15,1252,1135,노원구,태릉 ·  강릉 · 조선왕릉전시관,10,서울특별시,201212
6625,14090,1141,서대문구,서대문형무소역사관,11,서울특별시,201212
0,18881,1141,서대문구,서대문자연사박물관,12,서울특별시,201212
24492,9167,1144,마포구,트릭아이미술관,13,서울특별시,201212
62,860,1165,서초구,헌릉ㆍ인릉,14,서울특별시,201212
66868,670056,1171,송파구,롯데월드,15,서울특별시,201212
25550,38553,1111,종로구,창덕궁,1,서울특별시,201312
101942,145544,1111,종로구,경복궁,2,서울특별시,201312
1986,20035,1111,종로구,창경궁,3,서울특별시,201312
6048,13896,1111,종로구,종묘,4,서울특별시,201312
9083,286992,1117,용산구,국립중앙박물관,5,서울특별시,201312
13282,99301,1114,중구,덕수궁,6,서울특별시,201312
6,706,1135,노원구,태릉 ·  강릉 · 조선왕릉전시관,7,서울특별시,201312
6732,14607,1141,서대문구,서대문형무소역사관,8,서울특별시,201312
0,23245,1141,서대문구,서대문자연사박물관,9,서울특별시,201312
43129,11886,1144,마포구,트릭아이미술관,10,서울특별시,201312
16,1248,1165,서초구,헌릉ㆍ인릉,11,서울특별시,201312
1445,11890,1168,강남구,선릉·정릉,12,서울특별시,201312
29928,41561,1111,종로구,창덕궁,1,서울특별시,201412
129946,190501,1111,종로구,경복궁,2,서울특별시,201412
1693,19473,1111,종로구,창경궁,3,서울특별시,201412
3891,5951,1111,종로구,종묘,4,서울특별시,201412
7195,258781,1117,용산구,국립중앙박물관,5,서울특별시,201412
14723,44272,1114,중구,덕수궁,6,서울특별시,201412
12,486,1135,노원구,태릉 ·  강릉 · 조선왕릉전시관,7,서울특별시,201412
6263,27205,1141,서대문구,서대문형무소역사관,8,서울특별시,201412
0,24527,1141,서대문구,서대문자연사박물관,9,서울특별시,201412
42443,7478,1144,마포구,트릭아이미술관,10,서울특별시,201412
5,1036,1165,서초구,헌릉ㆍ인릉,11,서울특별시,201412
823,8869,1168,강남구,선릉·정릉,12,서울특별시,201412
33342,59738,1111,종로구,창덕궁,1,서울특별시,201512
170379,148961,1111,종로구,경복궁,2,서울특별시,201512
1783,27172,1111,종로구,창경궁,3,서울특별시,201512
3406,14936,1111,종로구,종묘,4,서울특별시,201512
13127,281457,1117,용산구,국립중앙박물관,5,서울특별시,201512
15197,68749,1114,중구,덕수궁,6,서울특별시,201512
16,2221,1135,노원구,태릉 ·  강릉 · 조선왕릉전시관,7,서울특별시,201512
5588,44232,1141,서대문구,서대문형무소역사관,8,서울특별시,201512
0,22587,1141,서대문구,서대문자연사박물관,9,서울특별시,201512
29520,8822,1144,마포구,트릭아이미술관,10,서울특별시,201512
3,1647,1165,서초구,헌릉ㆍ인릉,11,서울특별시,201512
492,14454,1168,강남구,선릉·정릉,12,서울특별시,201512
